Trace 0: 06273300 [00000000/00001c72/00013003/ff000000] ck_uart_putc
Trace 0: 06273700 [00000000/0000191e/00013003/ff000000] puts
Trace 0: 06273200 [00000000/000005b8/00013003/ff000000] fputc
Trace 0: 06273300 [00000000/00001c72/00013003/ff000000] ck_uart_putc
Trace 0: 06273940 [00000000/0000192c/00013003/ff000000] puts
Trace 0: 06273b80 [00000000/000005c8/00013003/ff000000] func1
Trace 0: 06273dc0 [00000000/00000654/00013003/ff000000] main
Trace 0: 06273e80 [00000000/00001952/00013003/ff000000] printf
Trace 0: 06274240 [00000000/000012c8/00013003/ff000000] _vsnprintf
Trace 0: 06274780 [00000000/000012f2/00013003/ff000000] _vsnprintf
Trace 0: 062748c0 [00000000/000012fc/00013003/ff000000] _vsnprintf
Trace 0: 06274a80 [00000000/00001328/00013003/ff000000] _vsnprintf
Trace 0: 06274b80 [00000000/00001318/00013003/ff000000] _vsnprintf
Trace 0: 06274c80 [00000000/000012b4/00013003/ff000000] _out_char
Trace 0: 06273200 [00000000/000005b8/00013003/ff000000] fputc
Trace 0: 06273300 [00000000/00001c72/00013003/ff000000] ck_uart_putc
Trace 0: 06274d80 [00000000/000012b8/00013003/ff000000] _out_char
Trace 0: 06274e40 [00000000/00001322/00013003/ff000000] _vsnprintf
Trace 0: 06274c80 [00000000/000012b4/00013003/ff000000] _out_char
Trace 0: 06273200 [00000000/000005b8/00013003/ff000000] fputc
Trace 0: 06273300 [00000000/00001c72/00013003/ff000000] ck_uart_putc
Trace 0: 06274e40 [00000000/00001322/00013003/ff000000] _vsnprintf
Trace 0: 06274c80 [00000000/000012b4/00013003/ff000000] _out_char
Trace 0: 06273200 [00000000/000005b8/00013003/ff000000] fputc
Trace 0: 06273300 [00000000/00001c72/00013003/ff000000] ck_uart_putc
Trace 0: 06274e40 [00000000/00001322/00013003/ff000000] _vsnprintf
Trace 0: 06274a80 [00000000/00001328/00013003/ff000000] _vsnprintf
Trace 0: 06274f80 [00000000/000013da/00013003/ff000000] _vsnprintf
Trace 0: 06274c80 [00000000/000012b4/00013003/ff000000] _out_char
Trace 0: 06275080 [00000000/000013e4/00013003/ff000000] _vsnprintf
Trace 0: 06275180 [00000000/000012b6/00013003/ff000000] _out_char
Trace 0: 06275240 [00000000/000013ee/00013003/ff000000] _vsnprintf
Trace 0: 06275700 [00000000/0000197a/00013003/ff000000] printf
Trace 0: 06275840 [00000000/0000065e/00013003/ff000000] main
